91,24,50,13,-933.198106
46,31,84,52,-693.214310
18,3,96,3,-1224.596106
30,35,55,86,73.520187
23,84,56,89,328.806070
32,29,30,40,-72.433489
13,76,95,9,-835.463627
50,19,15,77,290.140082
70,46,79,100,-282.807352
12,59,44,67,236.812264
48,36,48,30,-454.672907
62,27,4,84,447.385108
29,95,79,59,-209.388478
12,78,79,9,-627.134801
0,43,91,59,-391.026851
15,32,16,8,-83.555792
10,1,19,96,579.824995
95,68,11,40,-66.656293
9,81,36,87,620.668678
38,9,61,11,-826.824876
100,52,31,93,72.773829
91,54,51,75,-266.962730
24,70,64,98,251.441138
20,92,48,4,-294.271734
65,67,31,32,-207.729275
88,60,38,1,-735.645405
86,71,96,86,-609.745125
34,11,32,55,-51.626769
31,74,70,17,-574.927842
0,14,25,22,-49.028297
22,13,12,82,514.341468
40,62,45,14,-409.799510
92,76,71,37,-767.253931
44,22,28,53,-35.865170
31,82,88,69,-292.511490
64,38,98,96,-547.130805
86,59,66,49,-629.411731
24,69,0,37,462.725317
55,60,29,62,122.154015
34,77,88,93,-109.298581
0,31,73,74,-84.946456
83,20,41,29,-649.721599
57,79,95,69,-546.101039
13,87,98,28,-654.730051
23,70,46,97,462.459820
32,91,10,44,447.408744
53,87,82,100,-58.948540
8,51,26,60,386.568462
31,95,91,50,-451.025318
1,61,10,40,478.339707
98,78,83,83,-522.419185
73,83,16,47,121.522870
0,38,66,47,-218.671734
8,23,73,81,-103.345870
36,12,15,58,172.591783
26,28,26,39,-7.249963
6,90,67,88,315.357015
73,46,76,59,-635.150000
19,82,39,10,-163.466944
9,3,91,38,-795.693952
97,80,95,21,-1214.962622
22,39,77,39,-550.117277
26,6,71,58,-459.629031
79,42,11,43,-53.770565
92,58,40,30,-530.241606
99,63,39,34,-501.637787
50,26,70,39,-686.591824
59,51,65,75,-253.854718
4,12,74,91,-42.057726
82,79,5,1,-228.293572
12,31,8,48,389.076638
37,6,58,97,-19.785951
36,4,51,95,43.088566
24,90,51,88,398.501807
36,85,53,43,-123.234160
84,15,66,94,-392.418619
89,71,49,39,-483.076424
22,54,45,91,359.964992
18,28,81,56,-462.284859
74,20,91,80,-741.760147
87,21,60,34,-850.699321
31,49,43,87,277.836915
82,52,96,70,-807.352811
42,28,93,31,-974.249559
44,32,84,70,-513.460440
99,16,87,99,-683.051251
75,91,23,60,178.033032
18,86,54,49,27.886847
47,3,62,30,-741.410656
20,68,2,67,731.707508
70,85,65,97,9.915125
68,20,31,43,-312.341146
16,88,59,83,295.766764
21,11,51,86,80.543960
32,34,41,0,-547.920320
41,68,5,99,859.372488
90,65,74,62,-610.311690
99,56,11,24,-289.474957
27,78,24,32,151.402640
72,16,69,41,-828.612268
29,86,53,79,244.512890
51,9,35,32,-400.862964
36,91,75,16,-606.722669
83,37,5,52,56.824326
63,65,41,25,-389.409634
100,15,90,2,-1600.416272
69,49,58,74,-249.632972
9,9,10,6,-81.541284
74,25,36,41,-410.534375
67,57,29,35,-205.466510
5,44,9,61,587.282021
70,88,52,29,-434.431306
84,39,16,19,-374.345369
38,20,33,28,-291.674870
89,22,33,98,38.768854
90,75,44,94,75.027403
4,50,71,25,-447.322107
0,45,35,70,384.045854
50,64,54,15,-555.145814
97,32,58,31,-866.044187
23,97,3,26,448.200513
69,23,10,57,69.333878
37,31,40,58,-57.819121
13,78,55,34,-118.294560
89,1,93,91,-824.414839
58,44,1,94,661.233942
42,57,30,77,306.504330
76,15,50,12,-889.039946
23,56,65,27,-448.750126
43,32,26,51,20.639230
13,69,88,76,-176.135129
31,9,63,45,-499.028103
89,26,59,60,-598.144772
96,34,84,81,-716.736305
46,37,0,82,609.393855
18,87,36,17,-36.162778
11,79,14,31,359.851842
25,69,94,92,-175.475724
1,5,2,48,420.935837
30,10,38,84,163.264899
98,47,78,87,-552.865309
68,71,4,97,701.383292
74,68,98,64,-769.810667
17,92,19,60,575.347421
46,95,81,78,-167.520598
86,79,59,70,-278.764794
57,8,71,62,-602.874135
67,26,50,87,-111.032338
66,22,26,100,284.236316
42,21,15,40,11.938537
8,84,90,1,-782.699710
0,88,59,88,435.750112
28,55,54,98,287.038306
12,29,72,62,-262.181572
55,90,31,85,421.720058
48,1,27,18,-448.267629
51,91,80,6,-852.944813
65,87,61,66,-179.343330
60,83,74,49,-477.239514
19,20,30,20,-214.317572
8,30,90,3,-977.582732
85,75,7,93,544.123153
50,7,21,81,204.611320
63,25,33,9,-591.356745
15,3,68,91,-73.551023
33,74,79,38,-509.305663
33,10,13,27,-72.620240
3,82,54,50,112.806807
61,33,39,2,-684.570784
84,18,74,86,-545.965857
80,64,76,28,-884.604895
38,36,94,29,-950.189878
42,59,52,6,-588.606954
16,27,10,31,172.306015
81,33,60,31,-797.038723
91,45,46,14,-793.493725
14,73,26,14,22.809722
17,33,87,64,-439.098473
35,19,40,57,-98.892969
89,89,89,61,-698.979575
43,33,91,93,-382.768132
35,18,71,45,-584.649789
68,1,74,76,-607.127698
